ID: R1, Row: 2, Col: 4
ID: B1, Row: 1, Col: 1
ID: R2, Row: 0, Col: 6
ID: B2, Row: 6, Col: 6
ID: R3, Row: 0, Col: 0
ID: B3, Row: 0, Col: 3
ID: R4, Row: 3, Col: 0
ID: B4, Row: 6, Col: 0
ID: R5, Row: 6, Col: 3
ID: B5, Row: 3, Col: 5
ID: R6, Row: 5, Col: 3
ID: B6, Row: 4, Col: 3
ID: R7, Row: 2, Col: 3
ID: B7, Row: 2, Col: 2
ID: R8, Row: 3, Col: 6
ID: B8, Row: 5, Col: 1
ID: R9, Row: 3, Col: 1
ID: B9, Row: 3, Col: 2
ID: R6, Row: 5, Col: 5
ID: B6, Row: 4, Col: 2
ID: R1, Row: -1, Col: -1
ID: R6, Row: 5, Col: 3
ID: B6, Row: 4, Col: 3
ID: R7, Row: 2, Col: 4
ID: B6, Row: 4, Col: 2
ID: R7, Row: -1, Col: -1
ID: R6, Row: 5, Col: 5
ID: B6, Row: 4, Col: 3
ID: R5, Row: 5, Col: 3
ID: B6, Row: 4, Col: 2
ID: R5, Row: -1, Col: -1
ID: R6, Row: 5, Col: 3
ID: B6, Row: 4, Col: 3
ID: R6, Row: 6, Col: 3
ID: B6, Row: 4, Col: 2
ID: R6, Row: -1, Col: -1
